,GroupName,ContestantName,PartyName,TotalVotes,ContestantVotePercent
115,Legislative District 2,Tom Stroschein,Democratic Party,1123,100.00%
116,Legislative District 2,Jennifer Ann Luoma,Libertarian Party,33,100.00%
117,Legislative District 2,Dale Hawkins,Republican Party,7767,100.00%
118,Legislative District 3,"Doug ""Doug O"" Okuniewicz",Republican Party,8933,100.00%
119,Legislative District 3,Vito Barbieri,Republican Party,8746,100.00%
120,Legislative District 3,Jordan Redman,Republican Party,7938,83.42%
121,Legislative District 3,Rick Small,Republican Party,1578,16.58%
122,Legislative District 4,Tara Malek,Republican Party,2858,41.21%
123,Legislative District 4,Ben Toews,Republican Party,4078,58.79%
124,Legislative District 4,Megan Dardis-Kunz,Democratic Party,1126,100.00%
125,Legislative District 4,Jim Addis,Republican Party,3346,48.81%
126,Legislative District 4,Joe Alfieri,Republican Party,3509,51.19%
127,Legislative District 4,Larry Bieber,Democratic Party,1120,100.00%
128,Legislative District 4,Paul Amador,Republican Party,3437,49.83%
129,Legislative District 4,Elaine Price,Republican Party,3461,50.17%
130,Legislative District 5,Carl Bjerke,Republican Party,5114,62.20%
131,Legislative District 5,Peter Riggs,Republican Party,3108,37.80%
132,Legislative District 5,Kristy Reed Johnson,Democratic Party,799,100.00%
133,Legislative District 5,Ron Mendive,Republican Party,6701,83.45%
134,Legislative District 5,Cheri Zao,Republican Party,1329,16.55%
135,Legislative District 5,Teresa Borrenpohl,Democratic Party,796,100.00%
136,Legislative District 5,Tony Wisniewski,Republican Party,7382,100.00%
137,Legislative District 6,James Hartley,Constitution Party,17,100.00%
138,Legislative District 6,David Nelson,Democratic Party,1827,100.00%
139,Legislative District 6,Robert Blair,Republican Party,2280,35.25%
140,Legislative District 6,Dan Foreman,Republican Party,2792,43.17%
141,Legislative District 6,Jen Seegmiller,Republican Party,1396,21.58%
142,Legislative District 6,Jamal Kingsley Lyksett,Democratic Party,1713,100.00%
143,Legislative District 6,Claudia Dalby,Republican Party,2383,38.86%
144,Legislative District 6,Lori McCann,Republican Party,3749,61.14%
145,Legislative District 6,Tim Gresback,Democratic Party,1753,100.00%
146,Legislative District 6,Brandon Mitchell,Republican Party,5160,100.00%
147,Legislative District 7,Cindy Carlson,Republican Party,4273,48.72%
148,Legislative District 7,Carl Crabtree,Republican Party,3522,40.16%
149,Legislative District 7,Heather Rogers,Republican Party,439,5.01%
150,Legislative District 7,Keith Stuffle,Republican Party,537,6.12%
151,Legislative District 7,Lynn Guyer,Republican Party,2457,28.66%
152,Legislative District 7,Mike Kingsley,Republican Party,6117,71.34%
153,Legislative District 7,Charlie Shepherd,Republican Party,6878,100.00%
154,Legislative District 8,Gary E Freeman,Republican Party,1240,14.31%
155,Legislative District 8,Terry Gestrin,Republican Party,2389,27.57%
156,Legislative District 8,Jon Krueger,Republican Party,2231,25.75%
157,Legislative District 8,Geoff Schroeder,Republican Party,2805,32.37%
158,Legislative District 8,Steven W Feil,Constitution Party,18,100.00%
159,Legislative District 8,Rob Beiswenger,Republican Party,4122,46.64%
160,Legislative District 8,"Matthew ""Matt"" Bundy",Republican Party,4716,53.36%
161,Legislative District 8,Tony Ullrich,Constitution Party,22,100.00%
162,Legislative District 8,Megan C. Blanksma,Republican Party,6959,100.00%
163,Legislative District 9,Kayla Dunn,Republican Party,1032,11.11%
164,Legislative District 9,Abby Lee,Republican Party,3243,34.90%
165,Legislative District 9,Jordan Marques,Republican Party,2752,29.62%
166,Legislative District 9,Jim Rice,Republican Party,2265,24.38%
167,Legislative District 9,Jacyn Gallagher,Republican Party,4642,51.10%
168,Legislative District 9,Ryan Kerby,Republican Party,4442,48.90%
169,Legislative District 9,Judy Boyle,Republican Party,4636,50.03%
170,Legislative District 9,Scott Syme,Republican Party,4630,49.97%
171,Legislative District 10,Bob Solomon,Democratic Party,594,100.00%
172,Legislative District 10,Scott R Brock,Republican Party,3743,41.57%
173,Legislative District 10,Tammy Nichols,Republican Party,5262,58.43%
174,Legislative District 10,Rachel Hazelip,Republican Party,3887,43.95%
175,Legislative District 10,Mike Moyle,Republican Party,4957,56.05%
176,Legislative District 10,Beverlee Furner,Republican Party,1327,15.92%
177,Legislative District 10,Coral Kenagy,Republican Party,806,9.67%
178,Legislative District 10,Bruce D. Skaug,Republican Party,6200,74.40%
179,Legislative District 11,Kurtis Berger,Constitution Party,15,100.00%
180,Legislative District 11,Toni Ferro,Democratic Party,536,100.00%
181,Legislative District 11,Greg Chaney,Republican Party,1642,46.25%
182,Legislative District 11,Chris Trakel,Republican Party,1908,53.75%
183,Legislative District 11,Robert Scoville,Democratic Party,523,100.00%
184,Legislative District 11,Julie K Yamamoto,Republican Party,3113,100.00%
185,Legislative District 11,Marisela Pesina,Democratic Party,525,100.00%
186,Legislative District 11,Chris Allgood,Republican Party,1522,44.62%
187,Legislative District 11,Kent A. Marmon,Republican Party,1062,31.13%
188,Legislative District 11,Mike Miller,Republican Party,827,24.25%
189,Legislative District 12,Ben Adams,Republican Party,4412,81.69%
190,Legislative District 12,Thomas Netzley,Republican Party,989,18.31%
191,Legislative District 12,Jeff Cornilles,Republican Party,1997,35.24%
192,Legislative District 12,Sebastian Griffin,Republican Party,1747,30.83%
193,Legislative District 12,Machele Hamilton,Republican Party,1923,33.93%
194,Legislative District 12,Jaron Crane,Republican Party,4066,75.75%
195,Legislative District 12,Jana M. Warner,Republican Party,1302,24.25%
196,Legislative District 13,Jeff C Agenbroad,Republican Party,2330,42.43%
197,Legislative District 13,Brian Lenney,Republican Party,3162,57.57%
198,Legislative District 13,Petre Danaila,Constitution Party,12,100.00%
199,Legislative District 13,Brent J. Crane,Republican Party,4939,100.00%
200,Legislative District 13,Tara Barling,Republican Party,990,18.62%
201,Legislative District 13,Roger Hunt,Republican Party,1852,34.83%
202,Legislative District 13,Kenny Wroten,Republican Party,2475,46.55%
203,Legislative District 14,Kirsten Faith Richardson,Constitution Party,18,100.00%
204,Legislative District 14,Robert Imhoff,Libertarian Party,28,100.00%
205,Legislative District 14,Katie Donahue,Republican Party,1509,11.94%
206,Legislative District 14,C. Scott Grow,Republican Party,6038,47.77%
207,Legislative District 14,Steven Thayn,Republican Party,5092,40.29%
208,Legislative District 14,Crystal Ivie,Democratic Party,842,100.00%
209,Legislative District 14,Ted Hill,Republican Party,5221,42.43%
210,Legislative District 14,Caleb Hoobery,Republican Party,1247,10.13%
211,Legislative District 14,Tracey L. Koellisch,Republican Party,3702,30.09%
212,Legislative District 14,Mike Olsen,Republican Party,2134,17.34%
213,Legislative District 14,Shelley Brock,Democratic Party,862,100.00%
214,Legislative District 14,Gayann DeMordaunt,Republican Party,5424,44.57%
215,Legislative District 14,Josh Tanner,Republican Party,6745,55.43%
216,Legislative District 15,Sarah A. Clendenon,Constitution Party,10,100.00%
217,Legislative District 15,Rick Just,Democratic Party,1498,100.00%
218,Legislative District 15,Codi Galloway,Republican Party,3668,53.01%
219,Legislative District 15,Dorothy Greenzang,Republican Party,398,5.75%
220,Legislative District 15,Fred S. Martin,Republican Party,2853,41.23%
221,Legislative District 15,Steve Berch,Democratic Party,1543,100.00%
222,Legislative District 15,Steve Keyser,Republican Party,5242,100.00%
223,Legislative District 15,Jeff Nafsinger,Democratic Party,1449,100.00%
224,Legislative District 15,Dori Healey,Republican Party,5194,100.00%
225,Legislative District 16,Ali Rabe,Democratic Party,1815,100.00%
226,Legislative District 16,Dennis Mansfield,Republican Party,3882,100.00%
227,Legislative District 16,Soñia Galaviz,Democratic Party,1803,100.00%
228,Legislative District 16,Mark A Montoya,Republican Party,3855,100.00%
229,Legislative District 16,Colin Nash,Democratic Party,1831,100.00%
230,Legislative District 16,Jackie Davidson,Republican Party,2448,54.69%
231,Legislative District 16,Richard Shurtleff,Republican Party,2028,45.31%
232,Legislative District 17,Carrie Semmelroth,Democratic Party,1704,100.00%
233,Legislative District 17,Benjamin Donovan Chafetz,Republican Party,3549,100.00%
234,Legislative District 17,John Gannon,Democratic Party,1773,100.00%
235,Legislative District 17,April Larson,Republican Party,3556,100.00%
236,Legislative District 17,Sue Chew,Democratic Party,1798,100.00%
237,Legislative District 17,Mary Ellen Nourse,Republican Party,3563,100.00%
238,Legislative District 18,Janie Ward-Engelking,Democratic Party,1883,100.00%
239,Legislative District 18,Dan Bridges,Republican Party,3706,100.00%
240,Legislative District 18,Ilana Rubel,Democratic Party,1870,100.00%
241,Legislative District 18,MaryKate Johnson,Republican Party,3622,100.00%
242,Legislative District 18,Brooke Green,Democratic Party,1819,100.00%
243,Legislative District 18,Megan Conrad Landen,Republican Party,3645,100.00%
244,Legislative District 19,Melissa Wintrow,Democratic Party,2746,100.00%
245,Legislative District 19,Blair Moss,Republican Party,4759,100.00%
246,Legislative District 19,Lauren Necochea,Democratic Party,2717,100.00%
247,Legislative District 19,Melissa J. Christian,Republican Party,4701,100.00%
248,Legislative District 19,Chris Mathias,Democratic Party,2703,100.00%
249,Legislative District 19,James Faasau,Republican Party,4658,100.00%
250,Legislative District 20,Rosa Martinez,Republican Party,3758,46.08%
251,Legislative District 20,Chuck Winder,Republican Party,4397,53.92%
252,Legislative District 20,Joe Palmer,Republican Party,4811,62.26%
253,Legislative District 20,Gloria Urwin,Republican Party,2916,37.74%
254,Legislative District 20,James D Holtzclaw,Republican Party,4490,58.06%
255,Legislative District 20,Mike Hon,Republican Party,3243,41.94%
256,Legislative District 21,Monica McKinley,Constitution Party,10,100.00%
257,Legislative District 21,Treg A. Bernt,Republican Party,4467,61.27%
258,Legislative District 21,Thad Butterworth,Republican Party,2824,38.73%
259,Legislative District 21,Daniel Weston,Constitution Party,6,100.00%
260,Legislative District 21,Josi Christensen,Democratic Party,889,100.00%
261,Legislative District 21,Mike Long,Libertarian Party,29,100.00%
262,Legislative District 21,Dom Gelsomino,Republican Party,1063,14.36%
263,Legislative District 21,James Petzke,Republican Party,2879,38.88%
264,Legislative District 21,Tara Pugmire,Republican Party,2817,38.05%
265,Legislative District 21,Tyler Ricks,Republican Party,645,8.71%
266,Legislative District 21,Brandon Dybdal,Republican Party,1483,20.86%
267,Legislative District 21,Jeff Ehlers,Republican Party,3591,50.51%
268,Legislative District 21,Caleb Pirc,Republican Party,2035,28.63%
269,Legislative District 22,Brendan J. Gomez,Constitution Party,9,100.00%
270,Legislative District 22,Pat Soulliere,Democratic Party,1005,100.00%
271,Legislative District 22,Lori Den Hartog,Republican Party,5882,100.00%
272,Legislative District 22,Natalie R. MacLachlan,Democratic Party,1032,100.00%
273,Legislative District 22,Greg Ferch,Republican Party,3400,46.59%
274,Legislative District 22,John Vander Woude,Republican Party,3898,53.41%
275,Legislative District 22,Dawn Pierce,Democratic Party,1007,100.00%
276,Legislative District 22,Jason A. Monks,Republican Party,5989,100.00%
277,Legislative District 23,Mik Lose,Democratic Party,460,100.00%
278,Legislative District 23,Jon Basabe,Libertarian Party,22,100.00%
279,Legislative District 23,Steve Allmer,Republican Party,2596,38.51%
280,Legislative District 23,Todd Lakey,Republican Party,4145,61.49%
281,Legislative District 23,Melissa Durrant,Republican Party,2321,34.10%
282,Legislative District 23,Jason Knopp,Republican Party,1284,18.87%
283,Legislative District 23,Michael Law,Republican Party,1278,18.78%
284,Legislative District 23,Tammy Payne,Republican Party,1923,28.25%
285,Legislative District 23,Chris Bruce,Republican Party,1428,21.81%
286,Legislative District 23,Tina Lambert,Republican Party,2532,38.68%
287,Legislative District 23,Shaun Laughlin,Republican Party,1926,29.42%
288,Legislative District 23,Lyman Gene Winchester,Republican Party,660,10.08%
289,Legislative District 24,Jim Patrick,Republican Party,3906,49.76%
290,Legislative District 24,Glenneda Zuiderveld,Republican Party,3943,50.24%
291,Legislative District 24,Chenele Dixon,Republican Party,6131,84.40%
292,Legislative District 24,Tori Orgain-Wakewood,Republican Party,1133,15.60%
293,Legislative District 24,Creighton Knight,Republican Party,3255,42.71%
294,Legislative District 24,Steve Miller,Republican Party,4366,57.29%
295,Legislative District 25,Paul Thompson,Constitution Party,10,100.00%
296,Legislative District 25,Linda Wright Hartgen,Republican Party,4065,100.00%
297,Legislative District 25,Lance Clow,Republican Party,4020,100.00%
298,Legislative District 25,Rocky Ferrenburg,Republican Party,1253,27.42%
299,Legislative District 25,Gregory Lanting,Republican Party,3316,72.58%
300,Legislative District 26,Ron C Taylor,Democratic Party,2140,100.00%
301,Legislative District 26,Laurie Lickley,Republican Party,3343,63.09%
302,Legislative District 26,Eric Parker,Republican Party,1956,36.91%
303,Legislative District 26,Ned Burns,Democratic Party,2178,100.00%
304,Legislative District 26,Mike Pohanka,Republican Party,4556,100.00%
305,Legislative District 26,Karma Metzler Fitzgerald,Democratic Party,2122,100.00%
306,Legislative District 26,Lyle Johnstone,Republican Party,2144,44.23%
307,Legislative District 26,Jack Nelsen,Republican Party,2703,55.77%
308,Legislative District 27,Kelly Anthon,Republican Party,6202,73.78%
309,Legislative District 27,Jeanie Hakes,Republican Party,2204,26.22%
310,Legislative District 27,Douglas T Pickett,Republican Party,6727,83.18%
311,Legislative District 27,Carl C Voigt,Republican Party,1360,16.82%
312,Legislative District 27,Ryan Cook,Republican Party,310,3.72%
313,Legislative District 27,Pat Field,Republican Party,1836,22.05%
314,Legislative District 27,Clay Handy,Republican Party,3446,41.39%
315,Legislative District 27,John Stokes,Republican Party,1963,23.58%
316,Legislative District 27,Kevin Williams,Republican Party,771,9.26%
317,Legislative District 28,Tom Branson,Republican Party,1183,18.95%
318,Legislative District 28,Art da Rosa,Republican Party,1676,26.85%
319,Legislative District 28,Jim Guthrie,Republican Party,3384,54.20%
320,Legislative District 28,Richard 'Rick' Cheatum,Republican Party,3128,51.41%
321,Legislative District 28,Dawn L. Morrell,Republican Party,2957,48.59%
322,Legislative District 28,Dan Garner,Republican Party,3058,51.55%
323,Legislative District 28,R. Scott Workman,Republican Party,2874,48.45%
324,Legislative District 29,James D. Ruchti,Democratic Party,1377,100.00%
325,Legislative District 29,David T. Worley,Republican Party,3903,100.00%
326,Legislative District 29,Mary Shea,Democratic Party,1360,100.00%
327,Legislative District 29,Dustin Whitney Manwaring,Republican Party,2800,57.88%
328,Legislative District 29,S. Craig Yadon,Republican Party,2038,42.12%
329,Legislative District 29,Nate Roberts,Democratic Party,1346,100.00%
330,Legislative District 29,Greg Romriell,Republican Party,2268,47.96%
331,Legislative District 29,Jake Stevens,Republican Party,2461,52.04%
332,Legislative District 30,Dave Archuleta,Democratic Party,309,100.00%
333,Legislative District 30,Jerry D Bingham,Republican Party,3283,42.08%
334,Legislative District 30,Julie VanOrden,Republican Party,4518,57.92%
335,Legislative District 30,David Cannon,Republican Party,6700,100.00%
336,Legislative District 30,Travis Oler,Democratic Party,306,100.00%
337,Legislative District 30,Julianne Young,Republican Party,5978,100.00%
338,Legislative District 31,Fran Bryson,Republican Party,3310,31.47%
339,Legislative District 31,Van Burtenshaw,Republican Party,7209,68.53%
340,Legislative District 31,Connie Delaney,Democratic Party,312,100.00%
341,Legislative District 31,Karey Hanks,Republican Party,4785,44.92%
342,Legislative District 31,Jerald Raymond,Republican Party,5868,55.08%
343,Legislative District 31,Wayne Talmadge,Democratic Party,305,100.00%
344,Legislative District 31,Rod Furniss,Republican Party,6573,62.75%
345,Legislative District 31,Darnell Shipp,Republican Party,3902,37.25%
346,Legislative District 32,Kevin Cook,Republican Party,5200,74.84%
347,Legislative District 32,Keith Newberry,Republican Party,1748,25.16%
348,Legislative District 32,Nicholas T. Christiansen,Republican Party,2620,37.86%
349,Legislative District 32,Stephanie Jo Mickelsen,Republican Party,4300,62.14%
350,Legislative District 32,Wendy Horman,Republican Party,5247,100.00%
351,Legislative District 33,Dave Lent,Republican Party,3627,67.86%
352,Legislative District 33,Bryan Scholz,Republican Party,1718,32.14%
353,Legislative District 33,Miranda Marquit,Democratic Party,503,100.00%
354,Legislative District 33,Barbara Ehardt,Republican Party,3318,56.75%
355,Legislative District 33,Jeff Thompson,Republican Party,2529,43.25%
356,Legislative District 33,Marco Erickson,Republican Party,4030,100.00%
357,Legislative District 34,Doug Ricks,Republican Party,4517,100.00%
358,Legislative District 34,"Jason ""JD"" Drollinger",Republican Party,2274,44.60%
359,Legislative District 34,Jon O. Weber,Republican Party,2825,55.40%
360,Legislative District 34,Ron Nate,Republican Party,2605,49.66%
361,Legislative District 34,Britt Raybould,Republican Party,2641,50.34%
362,Legislative District 35,Mark Harris,Republican Party,5414,63.66%
363,Legislative District 35,Doug Toomer,Republican Party,3090,36.34%
364,Legislative District 35,Kevin Andrus,Republican Party,5172,60.31%
365,Legislative District 35,Jon Goode,Republican Party,3404,39.69%
366,Legislative District 35,Chad Christensen,Republican Party,4352,48.00%
367,Legislative District 35,Josh Wheeler,Republican Party,4714,52.00%
